key,nom,editeur,categories,installs,avis,note,cloud,modele_dc,derniere_version_dc
io.bloompeak.jira-reports-pro,Easy Reports - Custom Charts for Jira Dashboard & Confluence,Bloompeak,Dashboard gadgets;Charts & diagramming;Reports;Project management,2927,91,4.82,oui,atlassian,2026-05-18
com.tda.timesheet.report,Timesheet Tracking for Jira,Cappsule,Time tracking;Charts & diagramming;Reports;Project management,13081,251,4.37,oui,atlassian,2026-09-17
issue-history,Issue History for Jira (Work Item History),SaaSJet,Workflow;Reports;Monitoring;Project management,3086,95,4.66,oui,atlassian,2026-07-20
com.intenso.jira.issue-templates,Issue Templates for Jira,Deviniti,Admin tools;Workflow;Utilities;Project management,4536,126,3.92,oui,atlassian,2026-09-23
com.mxgraph.jira.plugins.drawio,draw.io Diagrams for Jira,Seibert - draw.io,Charts & diagramming;Design tools,8679,350,4.7,oui,atlassian,2026-09-07
com.valiantys.jira.plugins.exocet.jira-plugin-exocet-pro,"Elements Copy & Sync (clone issues, projects and epics)",Elements - Atlassian ITSM Partner of the Year 2025,Admin tools;Tasks;Utilities;IT & helpdesk,2404,57,4.69,oui,atlassian,2026-04-15
com.xiplink.jira.git.jira_git_plugin,"Git Integration for Jira (GitHub, GitLab, & Azure DevOps)",GitKraken,Repository connectors;Integrations;Project management;Source code,8530,343,4.41,oui,atlassian,2026-09-22
jira-timesheet-plugin,Time Tracker for Jira Cloud & DC,Tempo Software,Time tracking;Dashboard gadgets;Charts & diagramming;Reports,9798,298,4.13,oui,atlassian,2026-08-19
k15t-scroll-document-versions-for-confluence,Scroll Content Manager for Confluence,K15t,Workflow;Document management;Documentation;Utilities,2576,37,4.6,oui,atlassian,2026-09-15
eu.softwareplant.bigpicture,BigPicture PPM & Strategic Portfolio Management for Jira,Appfire,Workflow;Dashboard gadgets;Charts & diagramming;Project management,10708,504,3.91,oui,atlassian,2026-09-10
com.thed.zephyr.je,Zephyr Essential - Test Management for Jira,SmartBear,Custom fields;Dashboard gadgets;Testing & QA,10093,900,3.9,oui,atlassian,2026-07-28
