url,nom,prix,scopes,scopes_anciens,statut
https://slack.com/marketplace/AB9E0V3KL-now-actions,Now Actions & Slack Integration | Slack Marketplace,,bot channels:history channels:read chat:write:bot dnd:read emoji:read files:read files:write:user groups:history groups:read im:history im:read im:write mpim:history mpim:read mpim:write pins:read pins:write reactions:read reactions:write rtm:stream stars:read stars:write team:read usergroups:read users:read users:read.email users:write,bot,classic
https://slack.com/marketplace/ABATAFKJR-inview,InView & Slack Integration | Slack Marketplace,,incoming-webhook,,
https://slack.com/marketplace/ABBS52S6T-understandbetter,UnderstandBetter & Slack Integration | Slack Marketplace,,bot channels:history channels:read chat:write:bot dnd:read emoji:read files:read files:write:user groups:history groups:read im:history im:read im:write incoming-webhook mpim:history mpim:read mpim:write pins:read pins:write reactions:read reactions:write rtm:stream stars:read stars:write team:read usergroups:read users:read users:read.email users:write,bot,classic
https://slack.com/marketplace/ABC1XH3TN-indemandly,Indemandly & Slack Integration | Slack Marketplace,,channels:read chat:write:bot commands groups:read,,
https://slack.com/marketplace/ABC6CMEAC-world-cup-2018,World Cup 2018 & Slack Integration | Slack Marketplace,,commands,,
https://slack.com/marketplace/ABD7EVA7J-clapback,Clapback & Slack Integration | Slack Marketplace,,chat:write:bot commands,,
https://slack.com/marketplace/ABDN9RNEA-flashcxai,FlashCX.ai & Slack Integration | Slack Marketplace,Paid with free trial,commands users:read users:read.email,,
https://slack.com/marketplace/ABDSHJXRP-trackjs,TrackJS & Slack Integration | Slack Marketplace,,incoming-webhook,,
https://slack.com/marketplace/ABE1MDH9U-cryptocurrency-alerting,Cryptocurrency Alerting & Slack Integration | Slack Marketplace,Free,incoming-webhook,,
https://slack.com/marketplace/ABEM7C9LP-poll-everywhere,Poll Everywhere & Slack Integration | Slack Marketplace,Free and paid plans available,chat:write:bot commands,,
https://slack.com/marketplace/ABGDELS07-jobma,JOBMA & Slack Integration | Slack Marketplace,,incoming-webhook,,
https://slack.com/marketplace/ABGSXDG23-brainbot,BrainBot & Slack Integration | Slack Marketplace,Free,chat:write commands im:history,,
